"","Individual","Treatment"
"1","adapter_trim.F2-B10-pH8.bam","Low"
"2","adapter_trim.F2-B11-pH8.bam","Low"
"3","adapter_trim.F2-B12-pH8.bam","Low"
"4","adapter_trim.F2-B13-pH8.bam","Low"
"5","adapter_trim.F2-B15-pH8.bam","Low"
"6","adapter_trim.F2-B16-pH8.bam","Low"
"7","adapter_trim.F2-B1-pH8.bam","Low"
"8","adapter_trim.F2-B23-pH8.bam","Low"
"9","adapter_trim.F2-B3-pH8.bam","Low"
"10","adapter_trim.F2-B5-pH8.bam","Low"
"11","adapter_trim.F2-B8-pH8.bam","Low"
"12","adapter_trim.F2-B10-pH75.bam","Moderate"
"13","adapter_trim.F2-B11-pH75.bam","Moderate"
"14","adapter_trim.F2-B14-pH75.bam","Moderate"
"15","adapter_trim.F2-B16-pH75.bam","Moderate"
"16","adapter_trim.F2-B17-pH75.bam","Moderate"
"17","adapter_trim.F2-B19-pH75.bam","Moderate"
"18","adapter_trim.F2-B1-pH75.bam","Moderate"
"19","adapter_trim.F2-B21-pH75.bam","Moderate"
"20","adapter_trim.F2-B22-pH75.bam","Moderate"
"21","adapter_trim.F2-B25-pH75.bam","Moderate"
"22","adapter_trim.F2-B2-pH75.bam","Moderate"
"23","adapter_trim.F2-B3-pH75.bam","Moderate"
"24","adapter_trim.F2-B5-pH75.bam","Moderate"
"25","adapter_trim.F2-B6-pH75.bam","Moderate"
"26","adapter_trim.F2-B10-pH7.bam","High"
"27","adapter_trim.F2-B12-pH7.bam","High"
"28","adapter_trim.F2-B15-pH7.bam","High"
"29","adapter_trim.F2-B16-pH7.bam","High"
"30","adapter_trim.F2-B18-pH7.bam","High"
"31","adapter_trim.F2-B19-pH7.bam","High"
"32","adapter_trim.F2-B1-pH7.bam","High"
"33","adapter_trim.F2-B25-pH7.bam","High"
"34","adapter_trim.F2-B2-pH7.bam","High"
"35","adapter_trim.F2-B4-pH7.bam","High"
"36","adapter_trim.F2-B5-pH7.bam","High"
"37","adapter_trim.F2-B6-pH7.bam","High"
"38","adapter_trim.F2-B7-pH7.bam","High"
"39","adapter_trim.F2-B8-pH7.bam","High"
