"","Individual","Treatment"
"1","adapter_trim.F2-J102-pH8.bam","Low"
"2","adapter_trim.F2-J104-pH8.bam","Low"
"3","adapter_trim.F2-J105-pH8.bam","Low"
"4","adapter_trim.F2-J107-pH8.bam","Low"
"5","adapter_trim.F2-J108-pH8.bam","Low"
"6","adapter_trim.F2-J109-pH8.bam","Low"
"7","adapter_trim.F2-J122-pH8.bam","Low"
"8","adapter_trim.F2-J123-pH8.bam","Low"
"9","adapter_trim.F2-J125-pH8.bam","Low"
"10","adapter_trim.F2-J126-pH8.bam","Low"
"11","adapter_trim.F2-J127-pH8.bam","Low"
"12","adapter_trim.F2-J141-pH8.bam","Low"
"13","adapter_trim.F2-J142-pH8.bam","Low"
"14","adapter_trim.F2-J143-pH8.bam","Low"
"15","adapter_trim.F2-J144-pH8.bam","Low"
"16","adapter_trim.F2-J145-pH8.bam","Low"
"17","adapter_trim.F2-J146-pH8.bam","Low"
"18","adapter_trim.F2-J147-pH8.bam","Low"
"19","adapter_trim.F2-J82-pH8.bam","Low"
"20","adapter_trim.F2-J83-pH8.bam","Low"
"21","adapter_trim.F2-J84-pH8.bam","Low"
"22","adapter_trim.F2-J85-pH8.bam","Low"
"23","adapter_trim.F2-J86-pH8.bam","Low"
"24","adapter_trim.F2-J88-pH8.bam","Low"
"25","adapter_trim.F2-J89-pH8.bam","Low"
"26","adapter_trim.F2-J10-pH75.bam","Moderate"
"27","adapter_trim.F2-J11-pH75.bam","Moderate"
"28","adapter_trim.F2-J12-pH75.bam","Moderate"
"29","adapter_trim.F2-J13-pH75.bam","Moderate"
"30","adapter_trim.F2-J22-pH75.bam","Moderate"
"31","adapter_trim.F2-J23-pH75.bam","Moderate"
"32","adapter_trim.F2-J24-pH75.bam","Moderate"
"33","adapter_trim.F2-J25-pH75.bam","Moderate"
"34","adapter_trim.F2-J26-pH75.bam","Moderate"
"35","adapter_trim.F2-J27-pH75.bam","Moderate"
"36","adapter_trim.F2-J28-pH75.bam","Moderate"
"37","adapter_trim.F2-J29-pH75.bam","Moderate"
"38","adapter_trim.F2-J2-pH75.bam","Moderate"
"39","adapter_trim.F2-J30-pH75.bam","Moderate"
"40","adapter_trim.F2-J31-pH75.bam","Moderate"
"41","adapter_trim.F2-J3-pH75.bam","Moderate"
"42","adapter_trim.F2-J41-pH75.bam","Moderate"
"43","adapter_trim.F2-J42-pH75.bam","Moderate"
"44","adapter_trim.F2-J43-pH75.bam","Moderate"
"45","adapter_trim.F2-J45-pH75.bam","Moderate"
"46","adapter_trim.F2-J46-pH75.bam","Moderate"
"47","adapter_trim.F2-J47-pH75.bam","Moderate"
"48","adapter_trim.F2-J48-pH75.bam","Moderate"
"49","adapter_trim.F2-J49-pH75.bam","Moderate"
"50","adapter_trim.F2-J50-pH75.bam","Moderate"
"51","adapter_trim.F2-J51-pH75.bam","Moderate"
"52","adapter_trim.F2-J5-pH75.bam","Moderate"
"53","adapter_trim.F2-J61-pH75.bam","Moderate"
"54","adapter_trim.F2-J62-pH75.bam","Moderate"
"55","adapter_trim.F2-J63-pH75.bam","Moderate"
"56","adapter_trim.F2-J64-pH75.bam","Moderate"
"57","adapter_trim.F2-J65-pH75.bam","Moderate"
"58","adapter_trim.F2-J66-pH75.bam","Moderate"
"59","adapter_trim.F2-J67-pH75.bam","Moderate"
"60","adapter_trim.F2-J68-pH75.bam","Moderate"
"61","adapter_trim.F2-J69-pH75.bam","Moderate"
"62","adapter_trim.F2-J6-pH75.bam","Moderate"
"63","adapter_trim.F2-J70-pH75.bam","Moderate"
"64","adapter_trim.F2-J8-pH75.bam","Moderate"
"65","adapter_trim.F2-J9-pH75.bam","Moderate"
"66","adapter_trim.F2-J161-pH7.bam","High"
"67","adapter_trim.F2-J162-pH7.bam","High"
"68","adapter_trim.F2-J163-pH7.bam","High"
"69","adapter_trim.F2-J164-pH7.bam","High"
"70","adapter_trim.F2-J165-pH7.bam","High"
"71","adapter_trim.F2-J166-pH7.bam","High"
"72","adapter_trim.F2-J181-pH7.bam","High"
"73","adapter_trim.F2-J182-pH7.bam","High"
"74","adapter_trim.F2-J184-pH7.bam","High"
"75","adapter_trim.F2-J185-pH7.bam","High"
"76","adapter_trim.F2-J186-pH7.bam","High"
"77","adapter_trim.F2-J187-pH7.bam","High"
"78","adapter_trim.F2-J189-pH7.bam","High"
"79","adapter_trim.F2-J201-pH7.bam","High"
"80","adapter_trim.F2-J202-pH7.bam","High"
"81","adapter_trim.F2-J203-pH7.bam","High"
"82","adapter_trim.F2-J204-pH7.bam","High"
"83","adapter_trim.F2-J205-pH7.bam","High"
"84","adapter_trim.F2-J206-pH7.bam","High"
"85","adapter_trim.F2-J221-pH7.bam","High"
"86","adapter_trim.F2-J222-pH7.bam","High"
"87","adapter_trim.F2-J223-pH7.bam","High"
"88","adapter_trim.F2-J224-pH7.bam","High"
"89","adapter_trim.F2-J225-pH7.bam","High"
"90","adapter_trim.F2-J227-pH7.bam","High"
"91","adapter_trim.F2-J228-pH7.bam","High"
