Date,pH,Replicate,ExcretionRate_ug_hr,ExcretionRate_umol_hr,Number,Run
20221116,7.5,A,4.128,0.295,2,1
20221116,7.5,C,1.774,0.127,1,1
20221116,7.5,A,4.003,0.286,1,1
20221116,7.5,B,1.946,0.139,1,1
20221116,7.5,B,1.756,0.125,2,1
20221116,7.5,C,2.562,0.183,2,1
20221116,7.5,D,2.415,0.173,1,1
20221116,8,A,1.976129048,0.141152075,2,2
20221116,8,A,-2.088380001,-0.14917,1,2
20221116,8,B,0.892060271,0.063718591,1,2
20221116,8,C,1.144446904,0.081746207,2,2
20221116,8,C,3.288728162,0.234909154,1,2
20221116,8,B,2.059262516,0.14709018,2,2
20221116,8,D,2.32330952,0.16595068,1,2
20221116,7,B,4.131864421,0.295133173,1,3
20221116,7,D,7.611194892,0.543656778,1,3
20221116,7,A,4.31332997,0.308094998,2,3
20221116,7,A,4.620480071,0.330034291,1,3
20221116,7,C,3.832625683,0.273758977,1,3
20221116,7,C,-1.464921442,-0.104637246,2,3
20221116,7,B,4.09717216,0.292655154,2,3
20230131,7,A,4.17,0.3,1,1
20230131,7,B,7.47,0.53,1,1
20230131,7,C,11.51,0.82,1,1
20230131,7,D,0.69,0.05,1,1
20230131,7,A,6.23,0.45,2,1
20230131,7,B,0.39,0.03,2,1
20230131,7,C,2.84,0.2,2,1
20230131,8,A,4.65,0.33,1,2
20230131,8,B,3.8,0.27,1,2
20230131,8,C,2.4,0.17,1,2
20230131,8,D,2.15,0.15,1,2
20230131,8,A,3.78,0.27,2,2
20230131,8,B,1.75,0.13,2,2
20230131,8,C,5.96,0.43,2,2
20230131,7.5,A,6.15,0.44,1,3
20230131,7.5,B,4.89,0.35,1,3
20230131,7.5,C,5.68,0.41,1,3
20230131,7.5,D,11.05,0.79,1,3
20230131,7.5,A,5.15,0.37,2,3
20230131,7.5,B,5.26,0.38,2,3
20230131,7.5,C,3.61,0.26,2,3
20230223,7,A,8.59,0.61,1,1
20230223,7,B,7.76,0.55,1,1
20230223,7,C,12.92,0.92,1,1
20230223,7,D,8.2,0.59,1,1
20230223,7,E,14.05,1,1,1
20230223,7,F,36.31,2.59,1,1
20230223,7,G,25.93,1.85,1,1
20230223,8,A,12.66,0.9,1,2
20230223,8,B,12.75,0.91,1,2
20230223,8,C,19.57,1.4,1,2
20230223,8,D,10.26,0.73,1,2
20230223,8,E,17.68,1.26,1,2
20230223,8,F,55.41,3.96,1,2
20230223,8,G,20.68,1.48,1,2
20230223,7.5,A,27.62,1.97,1,3
20230223,7.5,B,27.54,1.97,1,3
20230223,7.5,C,12.88,0.92,1,3
20230223,7.5,D,20.24,1.45,1,3
20230223,7.5,E,35.29,2.52,1,3
20230223,7.5,F,12.84,0.92,1,3
20230223,7.5,G,28.77,2.05,1,3
20230327,7.5,A,30.4,2.17,1,1
20230327,7.5,B,24.16,1.73,1,1
20230327,7.5,C,24.36,1.74,1,1
20230327,7.5,D,12.37,0.88,1,1
20230327,7.5,E,26.62,1.9,1,1
20230327,7.5,F,18.65,1.33,1,1
20230327,7.5,B,27.77,1.98,2,1
20230327,8,A,23.62,1.69,1,2
20230327,8,B,42.92,3.07,1,2
20230327,8,C,34.81,2.49,1,2
20230327,8,D,31.09,2.22,1,2
20230327,8,E,39.9,2.85,1,2
20230327,8,F,17.54,1.25,1,2
20230327,8,F,43.88,3.13,2,2
20230327,7,A,20.74,1.48,1,3
20230327,7,B,10.01,0.72,1,3
20230327,7,C,36,2.57,1,3
20230327,7,D,20.46,1.46,1,3
20230327,7,E,27.19,1.94,1,3
20230327,7,F,26.7,1.91,1,3
20230327,7,D,44.25,3.16,2,3
