Date,Age_DPF,Treatment,pH,Replicate,Length_mm,Length_um,Life_stage,Notes
20210728,2,High OA,7,A,0.082207,82.207,larvae,
20210728,2,High OA,7,A,0.06909,69.09,larvae,
20210728,2,High OA,7,A,0.070312,70.312,larvae,
20210728,2,High OA,7,A,0.073123,73.123,larvae,
20210728,2,High OA,7,A,0.066207,66.207,larvae,
20210728,2,High OA,7,A,0.056543,56.543,larvae,
20210728,2,High OA,7,A,0.071871,71.871,larvae,
20210728,2,High OA,7,A,0.061166,61.166,larvae,
20210728,2,High OA,7,A,0.066055,66.055,larvae,
20210728,2,High OA,7,A,0.063756,63.756,larvae,
20210728,2,High OA,7,A,0.05841,58.41,larvae,
20210728,2,High OA,7,A,0.064698,64.698,larvae,
20210728,2,High OA,7,A,0.073295,73.295,larvae,
20210728,2,High OA,7,A,0.05841,58.41,larvae,
20210728,2,High OA,7,A,0.065649,65.649,larvae,
20210728,2,High OA,7,A,0.100394,100.394,larvae,
20210728,2,High OA,7,A,0.058831,58.831,larvae,
20210728,2,High OA,7,A,0.07947,79.47,larvae,
20210728,2,High OA,7,B,0.066503,66.503,larvae,
20210728,2,High OA,7,B,0.072354,72.354,larvae,
20210728,2,High OA,7,B,0.070111,70.111,larvae,
20210728,2,High OA,7,B,0.085057,85.057,larvae,
20210728,2,High OA,7,B,0.071752,71.752,larvae,
20210728,2,High OA,7,B,0.064205,64.205,larvae,
20210728,2,High OA,7,B,0.05913,59.13,larvae,
20210728,2,High OA,7,B,0.081758,81.758,larvae,
20210728,2,High OA,7,B,0.058831,58.831,larvae,
20210728,2,High OA,7,B,0.069628,69.628,larvae,
20210728,2,High OA,7,B,0.075028,75.028,larvae,
20210728,2,High OA,7,B,0.05947,59.47,larvae,
20210728,2,High OA,7,B,0.064072,64.072,larvae,
20210728,2,High OA,7,B,0.059241,59.241,larvae,
20210728,2,High OA,7,B,0.075962,75.962,larvae,
20210728,2,High OA,7,B,0.082207,82.207,larvae,
20210728,2,High OA,7,B,0.071287,71.287,larvae,
20210728,2,High OA,7,B,0.073788,73.788,larvae,
20210728,2,High OA,7,B,0.079082,79.082,larvae,
20210728,2,High OA,7,B,0.06648,66.48,larvae,
20210728,2,High OA,7,C,0.083182,83.182,larvae,
20210728,2,High OA,7,C,0.06378,63.78,larvae,
20210728,2,High OA,7,C,0.07492,74.92,larvae,
20210728,2,High OA,7,C,0.062487,62.487,larvae,
20210728,2,High OA,7,C,0.065534,65.534,larvae,
20210728,2,High OA,7,C,0.061339,61.339,larvae,
20210728,2,High OA,7,C,0.061798,61.798,larvae,
20210728,2,High OA,7,C,0.063598,63.598,larvae,
20210728,2,High OA,7,C,0.061446,61.446,larvae,
20210728,2,High OA,7,D,0.076721,76.721,larvae,
20210728,2,High OA,7,D,0.071961,71.961,larvae,
20210728,2,High OA,7,D,0.081753,81.753,larvae,
