Date,Age_DPF,Treatment,Replicate,Length_mm,Length_um
9/21/2022,36,High OA,A,0.72,720
9/21/2022,36,High OA,A,0.91,910
9/21/2022,36,High OA,A,0.97,970
9/21/2022,36,High OA,A,0.97,970
9/21/2022,36,High OA,A,1.04,1040
9/21/2022,36,High OA,A,1.15,1150
9/21/2022,36,High OA,A,1.19,1190
9/21/2022,36,High OA,A,1.2,1200
9/21/2022,36,High OA,A,1.2,1200
9/21/2022,36,High OA,A,1.21,1210
9/21/2022,36,High OA,A,1.21,1210
9/21/2022,36,High OA,A,1.23,1230
9/21/2022,36,High OA,A,1.25,1250
9/21/2022,36,High OA,A,1.27,1270
9/21/2022,36,High OA,A,1.35,1350
9/21/2022,36,High OA,A,1.37,1370
9/21/2022,36,High OA,A,1.37,1370
9/21/2022,36,High OA,A,1.41,1410
9/21/2022,36,High OA,A,1.45,1450
9/21/2022,36,High OA,A,1.45,1450
9/21/2022,36,High OA,A,1.48,1480
9/21/2022,36,High OA,A,1.54,1540
9/21/2022,36,High OA,A,1.54,1540
9/21/2022,36,High OA,A,1.55,1550
9/21/2022,36,High OA,A,1.55,1550
9/21/2022,36,High OA,A,1.55,1550
9/21/2022,36,High OA,A,1.6,1600
9/21/2022,36,High OA,A,1.6,1600
9/21/2022,36,High OA,A,1.62,1620
9/21/2022,36,High OA,A,1.63,1630
9/21/2022,36,High OA,A,1.63,1630
9/21/2022,36,High OA,A,1.65,1650
9/21/2022,36,High OA,A,1.65,1650
9/21/2022,36,High OA,A,1.65,1650
9/21/2022,36,High OA,A,1.65,1650
9/21/2022,36,High OA,A,1.68,1680
9/21/2022,36,High OA,A,1.7,1700
9/21/2022,36,High OA,A,1.73,1730
9/21/2022,36,High OA,A,1.73,1730
9/21/2022,36,High OA,A,1.73,1730
9/21/2022,36,High OA,A,1.78,1780
9/21/2022,36,High OA,A,1.84,1840
9/21/2022,36,High OA,A,1.87,1870
9/21/2022,36,High OA,A,1.94,1940
9/21/2022,36,High OA,A,1.94,1940
