site,species,ID,Timepoint,wetweight_g,pre_biovolume_mL,length_mm,width_mm,thickness_mm,
F,Ai,F02,pre-deployment,28.82,23.88,50.76,54.30,19.50,
F,Ai,F03,pre-deployment,22.38,19.23,45.77,48.50,18.25,
F,Ai,F04,pre-deployment,29.90,24.57,51.61,55.80,20.32,
F,Ai,F05,pre-deployment,23.53,18.96,47.76,50.11,18.18,
F,Ai,F07,pre-deployment,22.78,15.69,48.19,52.48,18.35,
F,Ai,F08,pre-deployment,30.83,19.91,51.90,56.40,20.98,
F,Ai,F09,pre-deployment,28.95,20.95,54.15,56.81,19.94,
F,Ai,F10,pre-deployment,18.56,18.29,47.26,50.57,17.49,
F,Ai,F11,pre-deployment,17.89,12.64,46.02,45.97,15.86,
F,Ai,F12,pre-deployment,17.56,16.45,45.12,48.80,17.39,
F,Ai,F13,pre-deployment,23.97,18.63,48.39,51.37,20.72,
F,Ai,F14,pre-deployment,21.61,16.90,47.88,49.02,16.64,
F,Ai,F15,pre-deployment,13.02,10.99,36.93,42.01,15.15,
F,Ai,F18,pre-deployment,20.86,18.91,47.28,50.91,17.61,
F,Ai,F20,pre-deployment,21.32,19.90,47.39,49.95,18.20,
M,Ai,M01,pre-deployment,26.65,21.23,48.55,53.25,19.62,
M,Ai,M02,pre-deployment,25.31,21.24,46.07,51.41,20.88,
M,Ai,M03,pre-deployment,23.96,20.88,47.88,51.52,19.47,
M,Ai,M04,pre-deployment,34.17,31.95,55.95,60.12,21.72,
M,Ai,M05,pre-deployment,13.88,11.42,38.07,41.59,15.68,
M,Ai,M06,pre-deployment,31.69,30.64,56.76,60.42,24.48,
M,Ai,M07,pre-deployment,20.24,14.98,46.51,49.06,16.85,
M,Ai,M08,pre-deployment,20.29,15.34,47.04,48.77,17.08,
M,Ai,M10,pre-deployment,27.90,21.98,53.85,58.18,17.95,
M,Ai,M11,pre-deployment,20.67,16.94,46.58,51.77,15.79,
M,Ai,M13,pre-deployment,25.09,22.76,47.85,51.57,20.25,
M,Ai,M14,pre-deployment,24.08,21.04,51.08,53.47,19.16,
M,Ai,M15,pre-deployment,21.87,18.13,46.02,49.37,20.27,
M,Ai,M16,pre-deployment,27.55,24.75,53.75,58.50,18.53,
M,Ai,M17,pre-deployment,21.41,19.74,46.61,48.81,19.62,
M,Ai,M18,pre-deployment,25.91,20.66,51.41,55.43,18.35,
M,Ai,M20,pre-deployment,18.66,15.15,45.32,47.40,17.32,
N,Ai,N01,pre-deployment,16.01,7.60,42.78,43.31,15.91,
N,Ai,N03,pre-deployment,18.26,17.05,47.15,49.42,17.98,
N,Ai,N05,pre-deployment,21.21,18.38,51.39,55.28,20.68,
N,Ai,N08,pre-deployment,29.72,19.97,51.52,55.74,20.09,
N,Ai,N09,pre-deployment,19.13,18.07,47.30,50.90,17.89,
N,Ai,N11,pre-deployment,20.99,17.87,49.74,50.69,18.79,
N,Ai,N12,pre-deployment,26.10,21.25,51.12,55.08,20.45,
N,Ai,N18,pre-deployment,20.24,18.87,45.73,48.49,19.15,
N,Ai,N20,pre-deployment,15.17,10.59,42.00,42.65,15.07,
B,Ai,O01,pre-deployment,32.62,30.03,55.65,61.01,22.95,
B,Ai,O02,pre-deployment,26.48,25.82,49.76,54.14,19.26,
B,Ai,O03,pre-deployment,24.18,15.69,47.14,50.32,20.65,
B,Ai,O05,pre-deployment,27.32,30.11,53.39,57.14,20.63,
B,Ai,O06,pre-deployment,18.81,16.71,46.12,48.73,18.01,
B,Ai,O07,pre-deployment,27.77,25.07,52.91,55.40,19.30,
B,Ai,O08,pre-deployment,22.65,20.27,46.91,51.29,18.18,
B,Ai,O09,pre-deployment,14.81,15.95,41.86,44.73,14.36,
B,Ai,O10,pre-deployment,23.29,20.30,46.75,52.28,18.94,
B,Ai,O11,pre-deployment,22.01,20.42,46.26,49.70,20.06,
B,Ai,O12,pre-deployment,17.95,14.24,45.94,48.02,16.08,
B,Ai,O13,pre-deployment,18.61,14.42,47.36,47.94,15.42,
B,Ai,O14,pre-deployment,19.27,17.01,45.03,46.74,16.78,
B,Ai,O15,pre-deployment,25.37,30.25,56.38,63.19,21.38,
B,Ai,O16,pre-deployment,26.22,19.76,47.13,51.93,19.66,
B,Ai,O18,pre-deployment,21.62,17.67,45.10,48.37,19.04,
B,Ai,O19,pre-deployment,22.23,23.46,47.62,51.21,19.09,
B,Ai,O20,pre-deployment,23.93,19.89,47.67,49.48,19.10,
