Date,Type,Treatment,Replicate,Replicate_color,Temperature_bucket_C,Salinity,DO_mg_l,Temperature_spec_C,TA_(mmol/kgSW),TCO2_(mmol/kgSW),pH,pH_out_TA_DIC,fCO2_out_(matm)_TA_DIC,pCO2_out_(matm)_TA_DIC,HCO3_out_(mmol/kgSW)_TA_DIC,CO3_out_(mmol/kgSW)_TA_DIC,CO2_out_(mmol/kgSW)_TA_DIC,B_Alk_out_(mmol/kgSW)_TA_DIC,OH_out_(mmol/kgSW)_TA_DIC,P_Alk_out_(mmol/kgSW)_TA_DIC,Si_Alk_out_(mmol/kgSW)_TA_DIC,Revelle_out_TA_DIC,WCa_out_TA_DIC,WAr_out_TA_DIC,xCO2_out_(dry_at_1_atm)_(ppm)_TA_DIC,_,pH_out_TA_pH,fCO2_out_(matm)_TA_pH,pCO2_out_(matm)_TA_pH,HCO3_out_(mmol/kgSW)_TA_pH,CO3_out_(mmol/kgSW)_TA_pH,CO2_out_(mmol/kgSW)_TA_pH,B_Alk_out_(mmol/kgSW)_TA_pH,OH_out_(mmol/kgSW)_TA_pH,P_Alk_out_(mmol/kgSW)_TA_pH,Si_Alk_out_(mmol/kgSW)_TA_pH,Revelle_out_TA_pH,WCa_out_TA_pH,WAr_out_TA_pH,xCO2_out_(dry_at_1_atm)_(ppm)_TA_pH,_,pH_out_DIC_pH,fCO2_out_(matm)_DIC_pH,pCO2_out_(matm)_DIC_pH,HCO3_out_(mmol/kgSW)_DIC_pH,CO3_out_(mmol/kgSW)_DIC_pH,CO2_out_(mmol/kgSW)_DIC_pH,B_Alk_out_(mmol/kgSW)_DIC_pH,OH_out_(mmol/kgSW)_DIC_pH,P_Alk_out_(mmol/kgSW)_DIC_pH,Si_Alk_out_(mmol/kgSW)_DIC_pH,Revelle_out_DIC_pH,WCa_out_DIC_pH,WAr_out_DIC_pH,xCO2_out_(dry_at_1_atm)_(ppm)_DIC_pH
1/13/2023,Adults,7.5,A,,7.9,27.24,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7.5,B,,8,27.2,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7.5,C,,7.9,27.23,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7.5,D,,8,27.19,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,8,A,Green,8,27.28,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,8,B,Green,8,27.1,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,8,C,Green,8,27.16,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,8,D,Green,8,27.16,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7,A,Green/purple,8,27.27,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7,B,Green/purple,8,27.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7,C,Green/purple,8.1,27.1,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2023,Adults,7,D,Green/purple,8,27.15,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7.5,A,,7.8,27.34,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7.5,B,,7.8,27.34,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7.5,C,,7.8,27.33,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7.5,D,,7.8,27.35,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
