Date,Type,Treatment,Replicate,Temperature_bucket_C,Salinity,DO_mg_l,Temperature_spec_C,TA_mmol_kgSW,TCO2_mmol_kgSW,pH ,pH_out,fCO2_out_matm,pCO2_out_matm,HCO3_out_mmol_kgSW,CO3_out_mmol_kgSW,CO2_out_mmol_kgSW,B_alk_out_mmol_kgSW,OH_out_mmol_kgSW,P_Alk_out_mmol_kgSW,Si_Alk_out_mmol_kgSW,Revelle_out,Wca_out,War_out_DIC_pH,xCO2_out _dry_at _1_atm_ ppm_ DIC_pH
8/14/2021,Juveniles,7,single tape,24.1,26.8,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,7,double tape,23.7,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,8,A,23.7,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,8,B,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,8,C,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,8,D,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,7.5,A,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,7.5,B,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,7.5,C,23.6,27,,,,,,,,,,,,,,,,,,,
8/14/2021,Juveniles,7.5,D,23.6,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7,single tape,23.6,26.9,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7,double tape,23.6,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,8,A,23.5,26.9,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,8,B,23.5,26.9,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,8,C,23.5,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,8,D,23.5,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7.5,A,23.5,26.9,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7.5,B,23.5,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7.5,C,23.5,27,,,,,,,,,,,,,,,,,,,
8/15/2021,Juveniles,7.5,D,23.6,27,,,,,,,,,,,,,,,,,,,
8/16/2021,Juveniles,7,single tape,23.6,27.1,,,,,,,,,,,,,,,,,,,
