Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Gonad_Tin_ID,Gonad_stage,Gonad_Tin_Weight_g,Dry_Gonad_Tin_Weight_g,Dry_Gonad_weight_g,Gonad_Index_Gonad:Soma,Whole_animal_dry_weight_g,Condition_index_drywtRatio_Walne1976,Shell_ash_weight_g_with_tin,Tissue_ash_weight_with_g_tin,Gonad_ash_weight_g_with_tin,Total_ash_weight_g_with_tin,TotalAFDW_g,Condition_index_TotalADFW_div_length,notes,,,,,About data...,,
9/14/2021,7.5,A,7.5_A,1.97048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000869,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,7.5,B,7.5_B,2.09718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001418,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,, (1) 9/14 data,,
9/14/2021,7.5,C,7.5_C,2.88012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002185,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,only shell length and whole dry weight of samples (not dissected,
9/14/2021,7.5,D,7.5_D,2.72653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001958,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,7.5,A,7.5_A,2.21222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001812,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,, (2) 'Total_ash_weight_g_with_tin' ,,
9/14/2021,7.5,B,7.5_B,2.82212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000733,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,adult samples before 3/28/22,
9/14/2021,7.5,C,7.5_C,2.68751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001379,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,#NAME?
9/14/2021,7.5,D,7.5_D,2.6591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000821,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,adult samples talen 3/28/22 and after,
9/14/2021,7.5,A,7.5_A,2.25305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002638,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,, - animals were ashed on the SEPARATE tins 
9/14/2021,7.5,B,7.5_B,3.16395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002028,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
