Parent,Exposure OA,Treatment,Tank,Tank Number,Generation,Age,sucessful metamorphosis,metamorphesed
LOW,LOW,low OA,A,1,2,21,0.85,1
LOW,LOW,low OA,B,2,2,21,0.75,1
LOW,LOW,low OA,C,3,2,21,0.19,0.933333333
MODERATE,MODERATE,moderate OA,A,10,2,21,0.08,0.6
MODERATE,MODERATE,moderate OA,B,11,2,21,0.08,0.875
MODERATE,MODERATE,moderate OA,C,12,2,21,0.11,0.6
LOW,LOW,low OA,A,1,3,16,,0.33
LOW,LOW,low OA,B,2,3,16,,0.56
LOW,LOW,low OA,C,3,3,16,,0.19
MODERATE,LOW,low OA,A,4,3,16,,0.4
MODERATE,LOW,low OA,B,5,3,16,,0.35
MODERATE,LOW,low OA,C,6,3,16,,0.52
LOW,MODERATE,moderate OA,A,7,3,16,,0.49
LOW,MODERATE,moderate OA,B,8,3,16,,0.06
LOW,MODERATE,moderate OA,C,9,3,16,,0.4
MODERATE,MODERATE,moderate OA,A,10,3,16,,0.42
MODERATE,MODERATE,moderate OA,B,11,3,16,,0.27
MODERATE,MODERATE,moderate OA,C,12,3,16,,0.28
LOW,HIGH,high OA,A,13,3,16,,0.51
LOW,HIGH,high OA,B,14,3,16,,0
LOW,HIGH,high OA,C,15,3,16,,0.4
MODERATE,HIGH,high OA,A,16,3,16,,0.18
MODERATE,HIGH,high OA,B,17,3,16,,0.58
MODERATE,HIGH,high OA,C,18,3,16,,0.56
HIGH,LOW,low OA,A,19,3,16,,0.61
HIGH,LOW,low OA,B,20,3,16,,0.25
HIGH,LOW,low OA,C,21,3,16,,0.15
HIGH,MODERATE,moderate OA,A,22,3,16,,0.44
HIGH,MODERATE,moderate OA,B,23,3,16,,0.18
HIGH,MODERATE,moderate OA,C,24,3,16,,0.42
HIGH,HIGH,high OA,A,25,3,16,,0.49
HIGH,HIGH,high OA,B,26,3,16,,0.45
HIGH,HIGH,high OA,C,27,3,16,,0.32
LOW,LOW,low OA,A,1,3,19,0.88,0.48
LOW,LOW,low OA,B,2,3,19,0.97,0.78
LOW,LOW,low OA,C,3,3,19,0.93,0.37
MODERATE,LOW,low OA,A,4,3,19,0.98,0.87
MODERATE,LOW,low OA,B,5,3,19,0.98,0.73
MODERATE,LOW,low OA,C,6,3,19,0.97,0.86
LOW,MODERATE,moderate OA,A,7,3,19,0.88,0.57
LOW,MODERATE,moderate OA,B,8,3,19,1,0.41
LOW,MODERATE,moderate OA,C,9,3,19,0.95,0.6
MODERATE,MODERATE,moderate OA,A,10,3,19,0.63,0.88
MODERATE,MODERATE,moderate OA,B,11,3,19,0.97,0.86
MODERATE,MODERATE,moderate OA,C,12,3,19,0.95,0.71
LOW,HIGH,high OA,A,13,3,19,0.97,0.88
LOW,HIGH,high OA,B,14,3,19,1,0.25
LOW,HIGH,high OA,C,15,3,19,0.97,0.83
MODERATE,HIGH,high OA,A,16,3,19,0.88,0.62
MODERATE,HIGH,high OA,B,17,3,19,0.92,0.43
MODERATE,HIGH,high OA,C,18,3,19,0.93,0.65
HIGH,LOW,low OA,A,19,3,19,0.37,0.3
HIGH,LOW,low OA,B,20,3,19,0.6,0.23
HIGH,LOW,low OA,C,21,3,19,0.6,0.46
HIGH,MODERATE,moderate OA,A,22,3,19,1,0.4
HIGH,MODERATE,moderate OA,B,23,3,19,0.79,0.72
HIGH,MODERATE,moderate OA,C,24,3,19,0.96,0.77
HIGH,HIGH,high OA,A,25,3,19,0.89,0.86
HIGH,HIGH,high OA,B,26,3,19,1,0.63
HIGH,HIGH,high OA,C,27,3,19,0.22,0.43
