"","Date","Metric","model","ShapiroWilk","ResidNorm","Levenes","HomogVar","DF.num","DF.denom","F_val","P_val","SigDif"
"1","20230201","SE","one-way AOV; x ~ treatment",0.14760180269118,"YES",0.432307600661323,"YES",2,9,1.57326228572639,0.259452072243781,"NO"
"2","20230201","OIR","one-way AOV; x ~ treatment",0.799791952177536,"YES",0.753738371996564,"YES",2,9,0.995787880593382,0.406744306817497,"NO"
"3","20230201","FR_correct","one-way AOV; x ~ treatment",0.0950311909863899,"YES",0.635481526393667,"YES",2,9,1.04847087187591,0.389651556155078,"NO"
"4","20230201","CR_correct","one-way AOV; x ~ treatment",0.178341825770396,"YES",0.493564980870375,"YES",2,9,4.22016971981573,0.0509441232690656,"NO"
"5","20230201","RR_Percent","one-way AOV; x ~ treatment",0.161820808349009,"YES",0.807329037675216,"YES",2,9,0.874787704256238,0.449604236293115,"NO"
"6","20230201","AR","one-way AOV; x ~ treatment",0.896254344856235,"YES",0.784960962853209,"YES",2,9,1.02053445389452,0.398603631413004,"NO"
"7","20230201","AE","one-way AOV; x ~ treatment",0.890448263917175,"YES",0.8710591964119,"YES",2,9,0.954616049786963,0.420743557651679,"NO"
"8","20230224","SE","one-way AOV; x ~ treatment",0.627320745993716,"YES",0.726241925738127,"YES",2,17,8.03970916213414,0.00348797999860205,"YES"
"9","20230224","OIR","kruskal-wallis; x ~ treatment",0.937523160088904,"YES",0.0249381469713812,"NO",2,NA,NA,0.0145237100503247,"YES"
"10","20230224","FR_correct","kruskal-wallis; x ~ treatment",0.434202410950291,"YES",0.0492961178970721,"NO",2,NA,NA,0.234251361850515,"NO"
"11","20230224","CR_correct","kruskal-wallis; x ~ treatment",0.5081122980499,"YES",0.0447575783306132,"NO",2,NA,NA,0.0411242847319084,"YES"
"12","20230224","RR_Percent","one-way AOV; x ~ treatment",0.897662300572898,"YES",0.917481243085583,"YES",2,17,6.89301039012048,0.00642407477133543,"YES"
"13","20230224","AR","kruskal-wallis; x ~ treatment",0.787510246243511,"YES",0.0392107341770304,"NO",2,NA,NA,0.00411886816437026,"YES"
"14","20230224","AE","one-way AOV; x ~ treatment",0.0551701267118312,"YES",0.527570981969834,"YES",2,17,14.2604022257933,0.000231223217664453,"YES"
"15","20230328","SE","kruskal-wallis; x ~ treatment",0.000557132929774075,"NO",0.469609376836805,"YES",2,NA,NA,0.0123527378647966,"YES"
"16","20230328","OIR","kruskal-wallis; x ~ treatment",0.879232256729503,"YES",0.0230117561746366,"NO",2,NA,NA,0.508204807491451,"NO"
"17","20230328","FR_correct","kruskal-wallis; x ~ treatment",0.682700670324641,"YES",0.0410496678152522,"NO",2,NA,NA,0.504759364411493,"NO"
"18","20230328","CR_correct","kruskal-wallis; x ~ treatment",0.32227241508795,"YES",0.018881228209687,"NO",2,NA,NA,0.217658070396373,"NO"
"19","20230328","RR_Percent","one-way AOV; x ~ treatment",0.335150205672079,"YES",0.470471716973746,"YES",2,17,1.16933391772438,0.33434137423361,"NO"
"20","20230328","AR","kruskal-wallis; x ~ treatment",0.497958299935828,"YES",0.0145377971488277,"NO",2,NA,NA,0.219516795872666,"NO"
"21","20230328","AE","one-way AOV; x ~ treatment",0.486360008097418,"YES",0.458560549547838,"YES",2,17,4.30226675559355,0.0307696428356414,"YES"
