"","Date","ID","pH","Replicate","Fed_Unfed","Run","Plate","Number","Length_um","CR_mL.hr.mmlength","pCO2","random_fact","type"
"1",20210914,"7.5_Run_1_Rep_A_Num_1","7.5","A","fed","1",NA,"1",1970.48,7.21421785738139,"800 μatm","A_7.5","chaet"
"2",20210914,"7.5_Run_2_Rep_A_Num_2","7.5","A","fed","2",NA,"2",2212.22,3.65983850551493,"800 μatm","A_7.5","chaet"
"3",20210914,"7.5_Run_3_Rep_A_Num_3","7.5","A","fed","3",NA,"3",2253.05,1.46850424449902,"800 μatm","A_7.5","chaet"
"4",20210914,"7.5_Run_1_Rep_B_Num_1","7.5","B","fed","1",NA,"1",2097.18,5.18724872658301,"800 μatm","B_7.5","chaet"
"5",20210914,"7.5_Run_2_Rep_B_Num_2","7.5","B","fed","2",NA,"2",2822.12,11.1084289734026,"800 μatm","B_7.5","chaet"
"6",20210914,"7.5_Run_4_Rep_B_Num_3","7.5","B","fed","4",NA,"3",3163.95,4.25112548310823,"800 μatm","B_7.5","chaet"
"7",20210914,"7.5_Run_1_Rep_C_Num_1","7.5","C","fed","1",NA,"1",2880.12,5.44167523860063,"800 μatm","C_7.5","chaet"
"8",20210914,"7.5_Run_3_Rep_C_Num_2","7.5","C","fed","3",NA,"2",2687.51,2.32589351680882,"800 μatm","C_7.5","chaet"
"9",20210914,"7.5_Run_4_Rep_C_Num_3","7.5","C","fed","4",NA,"3",2150.83,2.47300853788039,"800 μatm","C_7.5","chaet"
"10",20210914,"7.5_Run_2_Rep_D_Num_1","7.5","D","fed","2",NA,"1",2726.53,5.26918828062835,"800 μatm","D_7.5","chaet"
"11",20210914,"7.5_Run_3_Rep_D_Num_2","7.5","D","fed","3",NA,"2",2659.1,6.56761713680098,"800 μatm","D_7.5","chaet"
"12",20210914,"7.5_Run_4_Rep_D_Num_3","7.5","D","fed","4",NA,"3",1916.71,1.61450744008893,"800 μatm","D_7.5","chaet"
"13",20210914,"8_Run_1_Rep_A_Num_1","8","A","fed","1",NA,"1",1737.49,1.92224884390268,"500 μatm","A_8","chaet"
"14",20210914,"8_Run_2_Rep_A_Num_2","8","A","fed","2",NA,"2",2974,4.60872209589261,"500 μatm","A_8","chaet"
"15",20210914,"8_Run_3_Rep_A_Num_3","8","A","fed","3",NA,"3",1974.36,0.687132607377712,"500 μatm","A_8","chaet"
"16",20210914,"8_Run_1_Rep_B_Num_1","8","B","fed","1",NA,"1",2709.79,3.09603184642626,"500 μatm","B_8","chaet"
"17",20210914,"8_Run_2_Rep_B_Num_2","8","B","fed","2",NA,"2",2109.65,2.43935824490978,"500 μatm","B_8","chaet"
"18",20210914,"8_Run_1_Rep_C_Num_1","8","C","fed","1",NA,"1",2281.73,2.94711794346051,"500 μatm","C_8","chaet"
"19",20210914,"8_Run_3_Rep_C_Num_2","8","C","fed","3",NA,"2",2452.71,2.34255411768067,"500 μatm","C_8","chaet"
"20",20210914,"8_Run_4_Rep_C_Num_3","8","C","fed","4",NA,"3",1796.06,0.391496647823802,"500 μatm","C_8","chaet"
"21",20210914,"8_Run_2_Rep_D_Num_1","8","D","fed","2",NA,"1",2692.97,4.07894638227061,"500 μatm","D_8","chaet"
