"","Age_DPF","model","ShapiroWilk","ResidNorm","Variance","HomogVar","DF.num","DF.denom","Tstat","P_val","SigDif","NA","About"
"1",92,"Wilcoxon rank sum exact test","0.571798093041853; 0.00546241352895327","NO",0.0680390220485312,"YES","NA","NA",16,0.0285714285714286,"YES",NA,"Shell: raw, NO BFACTOR + mean data"
"2",129,"Welchs T test, equal variance","0.0526692546921732; 0.295573695166133","YES",0.290570353981874,"YES","14","NA",7.06819042569533,2.80527224823271e-06,"YES",NA,"Shell: raw, NO BFACTOR + mean data"
"3",191,"Welchs T test, equal variance","0.901950728598832; 0.912687040046971","YES",0.144100949317155,"YES","14","NA",6.91011488192002,3.60345914788355e-06,"YES",NA,"Shell: raw, NO BFACTOR + mean data"
"4",219,"Welchs T test, equal variance","0.967303030205592; 0.285573311367051","YES",0.692771492483857,"YES","14","NA",3.28936250830869,0.00268742552911086,"YES",NA,"Shell: raw, NO BFACTOR + mean data"
"5",233,"Welchs T test, equal variance","0.409001467348509; 0.917796688857775","YES",0.263548152883067,"YES","14","NA",3.22707321883252,0.00304197503424792,"YES",NA,"Shell: raw, NO BFACTOR + mean data"
"6",245,"Welchs T test, equal variance","0.257822809051925; 0.730620744596194","YES",0.53406873297258,"YES","14","NA",-2.68294338444073,0.991078749327967,"NO",NA,"Shell: raw, NO BFACTOR + mean data"
"7",274,"Wilcoxon rank sum exact test","0.00268319444348115; 0.136600830898144","NO",0.507800441108546,"YES","NA","NA",15,0.0571428571428571,"NO",NA,"Shell: raw, NO BFACTOR + mean data"
"8",304,"Welchs T test, equal variance","0.75636697673459; 0.428898460009302","YES",0.581073417734824,"YES","14","NA",-11.4796861576693,0.999999991756304,"NO",NA,"Shell: raw, NO BFACTOR + mean data"
"9",338,"Welchs T test, equal variance","0.71054887014007; 0.337704379618021","YES",0.34693219250198,"YES","14","NA",-9.15629798173191,0.999999862422817,"NO",NA,"Shell: raw, NO BFACTOR + mean data"
"10",92,"Welchs T test, non-equal variance","0.143532404086307; 0.61794954363476","YES",0.0162743302541512,"NO","7.01761294557436","NA",-67.559524382535,0.999999999980529,"NO",NA,"Shell: one bfactor + mean data"
"11",129,"Welchs T test, equal variance","0.962919321645628; 0.703289951499395","YES",0.0731850734291861,"YES","14","NA",-28.3976130581257,0.999999999999956,"NO",NA,"Shell: one bfactor + mean data"
"12",191,"Wilcoxon rank sum exact test","0.792617319464448; 0.0212908807561152","NO",0.213779190604294,"YES","NA","NA",8,1,"NO",NA,"Shell: one bfactor + mean data"
"13",219,"Welchs T test, equal variance","0.291049625084101; 0.867384281040663","YES",0.980533634511716,"YES","14","NA",-51.1914376219154,1,"NO",NA,"Shell: one bfactor + mean data"
"14",233,"Wilcoxon rank sum exact test","0.0247354250260298; 0.835160780688854","NO",0.213257599617766,"YES","NA","NA",13,0.2,"NO",NA,"Shell: one bfactor + mean data"
"15",245,"Welchs T test, equal variance","0.999078489874179; 0.295997067820167","YES",0.359463426830216,"YES","14","NA",-34.6664427757034,0.999999999999997,"NO",NA,"Shell: one bfactor + mean data"
"16",274,"Welchs T test, equal variance","0.226666796212421; 0.374897642994531","YES",0.187811882528634,"YES","14","NA",-27.00252794503,0.999999999999911,"NO",NA,"Shell: one bfactor + mean data"
"17",304,"Welchs T test, equal variance","0.0575531234568036; 0.643818719575632","YES",0.723529705083653,"YES","14","NA",-29.4473592218535,0.999999999999973,"NO",NA,"Shell: one bfactor + mean data"
"18",338,"Welchs T test, equal variance","0.947625319347465; 0.344157459699121","YES",0.565705288184844,"YES","14","NA",-59.658171776377,1,"NO",NA,"Shell: one bfactor + mean data"
"19",92,"Welchs T test, non-equal variance","0.143532404086307; 0.61794954363476","YES",0.0162743302541512,"NO","7.01761294557436","NA",-67.559524382535,0.999999999980529,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"20",129,"Welchs T test, equal variance","0.962919321645628; 0.703289951499395","YES",0.0731850734291861,"YES","14","NA",-28.3976130581257,0.999999999999956,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"21",191,"Wilcoxon rank sum exact test","0.792617319464448; 0.0212908807561152","NO",0.213779190604294,"YES","NA","NA",8,1,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"22",219,"Welchs T test, equal variance","0.291049625084101; 0.867384281040663","YES",0.980533634511716,"YES","14","NA",-51.1914376219154,1,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"23",233,"Wilcoxon rank sum exact test","0.0247354250260298; 0.835160780688854","NO",0.213257599617766,"YES","NA","NA",13,0.2,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"24",245,"Welchs T test, equal variance","0.999078489874179; 0.295997067820167","YES",0.359463426830216,"YES","14","NA",-34.6664427757034,0.999999999999997,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"25",274,"Welchs T test, equal variance","0.226666796212421; 0.374897642994531","YES",0.187811882528634,"YES","14","NA",-27.00252794503,0.999999999999911,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"26",304,"Welchs T test, equal variance","0.0575531234568036; 0.643818719575632","YES",0.723529705083653,"YES","14","NA",-29.4473592218535,0.999999999999973,"NO",NA,"Shell: two pCO2 bfactors + mean data"
"27",338,"Welchs T test, equal variance","0.947625319347465; 0.344157459699121","YES",0.565705288184844,"YES","14","NA",-59.658171776377,1,"NO",NA,"Shell: two pCO2 bfactors + mean data"
