"","Date","pH","Replicate","Number","Run","ExcretionRate_ug_mL_hr","ExcretionRate_umol_mL_hr","Chamber_tank","Biovolume_g_in_sw","Length_um","Dry_Shell_weight","Dry_Tissue_weight","whole_Dry_weight","ExcretionRate_umol_mL_hr_TDWbfactor","pCO2"
"1",20211026,7.5,"A",1,1,0.456141465,0.032581533,"7.5_A",0.2,8900,"0.0485","0.0043","0.0528",1.2741439737512,"800 μatm"
"2",20211026,7.5,"A",2,2,0.365329145,0.026094939,"7.5_A",0.4,13490,"0.1371","0.0143","0.1514",0.399711425147332,"800 μatm"
"3",20211026,7.5,"B",1,1,0.017666053,0.001261861,"7.5_B",0.1,7030,"0.0266","0.003","0.0296",0.0653445429404167,"800 μatm"
"4",20211026,7.5,"B",2,2,0.140669714,0.010047837,"7.5_B",0.2,10100,"0.0689","0.0074","0.0763",0.257290780903289,"800 μatm"
"5",20211026,7.5,"B",3,3,0.590213815,0.04215813,"7.5_B",0.2,9510,"0.0581","0.0065","0.0646",1.19443165847539,"800 μatm"
"6",20211026,7.5,"C",2,3,0.72621079,0.051872199,"7.5_C",0.2,9550,"0.0577","0.0075","0.0652",1.31443543718662,"800 μatm"
"7",20211026,7.5,"C",3,3,0.595379467,0.042527105,"7.5_C",0.2,9710,"0.0622","0.0067","0.0689",1.1767382180644,"800 μatm"
"8",20211026,7.5,"D",1,2,0.029144841,0.002081774,"7.5_D",0.1,7420,"0.0275","0.0024","0.0299",0.128298387186014,"800 μatm"
"9",20211026,7.5,"D",2,3,0.377715857,0.026979704,"7.5_D",0.2,8890,"0.0419","0.0053","0.0472",0.896302045747684,"800 μatm"
"10",20211026,8,"A",1,1,0.667210339,0.047657881,"8_A",0.4,12610,"0.1411","0.0131","0.1542",0.781655707266591,"500 μatm"
"11",20211026,8,"A",2,2,0.474723754,0.03390884,"8_A",0.5,14310,"0.1724","0.016","0.1884",0.475829903704516,"500 μatm"
"12",20211026,8,"B",1,1,0.252947498,0.018067678,"8_B",0.2,8940,"0.0481","0.0069","0.055",0.488598845634531,"500 μatm"
"13",20211026,8,"B",2,2,0.709979691,0.050712835,"8_B",0.2,11610,"0.0846","0.0132","0.0978",0.826842151909062,"500 μatm"
"14",20211026,8,"C",1,1,0.792342338,0.056595881,"8_C",0.5,14070,"0.18","0.0194","0.1994",0.683363629529231,"500 μatm"
"15",20211026,8,"C",2,3,0.376238901,0.026874207,"8_C",0.4,12530,"0.1329","0.0143","0.1472",0.411647928346351,"500 μatm"
"16",20211026,8,"D",1,2,0.049750986,0.003553642,"8_D",0.1,8650,"0.0439","0.0038","0.0477",0.153036439888421,"500 μatm"
"17",20211026,8,"D",2,3,0.747279467,0.053377105,"8_D",0.3,11400,"0.0948","0.01","0.1048",1.08070559703369,"500 μatm"
"18",20220202,7.5,"A",1,1,2.509199752,0.179228554,"7.5_A",0.6574,14900,"0.2447","0.039","0.2837",1.25524700205467,"800 μatm"
"19",20220202,7.5,"B",1,1,3.205899747,0.228992839,"7.5_B",0.4508,13600,"0.1747","0.0323","0.207",1.85778871017222,"800 μatm"
"20",20220202,7.5,"C",2,3,2.979851,0.2128465,"7.5_C",0.6289,15100,"0.2381","0.0424","0.2805",1.39660479995382,"800 μatm"
"21",20220202,7.5,"D",1,2,1.423181378,0.101655813,"7.5_D",0.569,14750,"0.2052","0.0203","0.2255",1.18477994386951,"800 μatm"
"22",20220202,7.5,"E",1,2,1.45633315,0.104023796,"7.5_E",0.4472,13200,"0.1471","0.0264","0.1735",0.98772039229528,"800 μatm"
"23",20220202,7.5,"F",1,2,1.470705091,0.105050364,"7.5_F",0.4172,13000,"0.165","0.0273","0.1923",0.971724342312984,"800 μatm"
"24",20220202,7.5,"G",1,3,4.956808641,0.35405776,"7.5_G",0.4402,14000,"0.1728","0.0362","0.209",2.62805117442581,"800 μatm"
"25",20220202,7.5,"H",1,3,4.218922969,0.301351641,"7.5_H",0.5418,13600,"0.173","0.0324","0.2054",2.43893843703537,"800 μatm"
"26",20220202,8,"A",1,1,3.502851504,0.250203679,"8_A",0.5078,14350,"0.2187","0.0335","0.2522",1.97292750355174,"500 μatm"
"27",20220202,8,"B",1,1,0.994044075,0.071003148,"8_B",0.5458,13800,"0.2086","0.0335","0.2421",0.559880110827447,"500 μatm"
"28",20220202,8,"C",2,3,1.37148515,0.097963225,"8_C",0.6289,14800,"0.2328","0.0397","0.2725",0.676641863618323,"500 μatm"
"29",20220202,8,"D",1,2,4.239148427,0.302796316,"8_D",0.5629,14000,"0.2072","0.0354","0.2426",2.28707511206209,"500 μatm"
"30",20220202,8,"E",1,2,2.913461977,0.208104427,"8_E",0.5946,14800,"0.2372","0.0382","0.2754",1.48123607741296,"500 μatm"
"31",20220202,8,"F",1,2,2.370221859,0.169301561,"8_F",0.5324,14200,"0.1944","0.0355","0.2299",1.27595463065894,"500 μatm"
"32",20220202,8,"G",1,3,1.187734027,0.084838145,"8_G",0.4402,14000,"0.1514","0.0323","0.1837",0.6882806845019,"500 μatm"
"33",20220202,8,"H",1,3,2.61897811,0.187069865,"8_H",0.5418,14000,"0.2006","0.0345","0.2351",1.44164166039843,"500 μatm"
"34",20220301,7.5,"A",1,1,4.677236396,0.334088314,"7.5_A",2.5643,22200,"0.8372","0.1763","1.0135",0.721334769775398,"800 μatm"
"35",20220301,7.5,"B",1,1,2.499750637,0.178553617,"7.5_B",2.1273,21900,"0.7983","0.1522","0.9505",0.432352135740277,"800 μatm"
"36",20220301,7.5,"B",2,3,3.56546219,0.254675871,"7.5_B",2.0441,21350,"0.7802","0.1436","0.9238",0.64529711333256,"800 μatm"
"37",20220301,7.5,"C",1,1,4.141278959,0.29580564,"7.5_C",2.0713,23750,"1.0027","0.1721","1.1748",0.650803315431034,"800 μatm"
"38",20220301,7.5,"D",1,2,0.779074314,0.055648165,"7.5_D",2.3687,22400,"0.9424","0.1968","1.1392",0.11027159591215,"800 μatm"
"39",20220301,7.5,"E",1,2,1.262573573,0.090183827,"7.5_E",2.5022,23450,"1.1085","0.1995","1.308",0.176817637758513,"800 μatm"
"40",20220301,7.5,"F",1,2,1.053078542,0.075219896,"7.5_F",2.7162,23900,"1.1042","0.2425","1.3467",0.126651388229742,"800 μatm"
"41",20220301,7.5,"G",1,3,4.90794452,0.350567466,"7.5_G",2.8583,24300,"1.0958","0.2481","1.3439",0.579849275204669,"800 μatm"
"42",20220301,7.5,"H",1,3,1.408405676,0.100600405,"7.5_H",2.8938,23500,"1.224","0.2242","1.4482",0.180076209321487,"800 μatm"
"43",20220301,8,"A",1,1,1.113817948,0.079558425,"8_A",1.6342,20200,"0.6548","0.1263","0.7811",0.222814756011535,"500 μatm"
"44",20220301,8,"A",1,1,1.113817948,0.079558425,"8_A",1.6342,20200,"0.6548","0.1263","0.7811",0.222814756011535,"500 μatm"
"45",20220301,8,"B",1,1,2.838380829,0.202741488,"8_B",1.5685,20350,"0.6208","0.0803","0.7011",0.808382474649418,"500 μatm"
"46",20220301,8,"B",1,1,2.838380829,0.202741488,"8_B",1.5685,20350,"0.6208","0.0803","0.7011",0.808382474649418,"500 μatm"
"47",20220301,8,"C",1,1,2.644784894,0.188913207,"8_C",1.9218,21900,"0.8443","0.1547","0.999",0.451660656381885,"500 μatm"
"48",20220301,8,"C",1,1,2.644784894,0.188913207,"8_C",1.9218,21900,"0.8443","0.1547","0.999",0.451660656381885,"500 μatm"
"49",20220301,8,"D",1,2,6.246268872,0.446162062,"8_D",2.6922,23900,"0.9793","0.196","1.1753",0.886921715437109,"500 μatm"
"50",20220301,8,"D",1,2,6.246268872,0.446162062,"8_D",2.6922,23900,"0.9793","0.196","1.1753",0.886921715437109,"500 μatm"
"51",20220301,8,"E",1,2,0.267216865,0.019086919,"8_E",2.3138,23000,"0.7669","0.1099","0.8768",0.0595813056105459,"500 μatm"
"52",20220301,8,"E",1,2,0.267216865,0.019086919,"8_E",2.3138,23000,"0.7669","0.1099","0.8768",0.0595813056105459,"500 μatm"
"53",20220301,8,"E",2,3,8.764500696,0.626035764,"8_E",1.6042,21000,"0.6338","0.1175","0.7513",1.85490637387934,"500 μatm"
"54",20220301,8,"E",2,3,8.764500696,0.626035764,"8_E",1.6042,21000,"0.6338","0.1175","0.7513",1.85490637387934,"500 μatm"
"55",20220301,8,"F",1,2,4.590202946,0.327871639,"8_F",2.5191,23700,"1.0776","0.1926","1.2702",0.660730472146731,"500 μatm"
"56",20220301,8,"F",1,2,4.590202946,0.327871639,"8_F",2.5191,23700,"1.0776","0.1926","1.2702",0.660730472146731,"500 μatm"
"57",20220301,8,"G",1,3,2.490234193,0.177873871,"8_G",1.84,21200,"0.7711","0.142","0.9131",0.454652552111139,"500 μatm"
"58",20220301,8,"G",1,3,2.490234193,0.177873871,"8_G",1.84,21200,"0.7711","0.142","0.9131",0.454652552111139,"500 μatm"
"59",20220301,8,"H",1,3,3.553321087,0.253808649,"8_H",2.0275,22050,"0.8819","0.1405","1.0224",0.654140848319733,"500 μatm"
"60",20220922,7.5,"A",1,1,1538.394,109.8852857,"7.5_A",17.3,43350,"6.754","0.894","7.648",66.8726698291574,"800 μatm"
"61",20220922,7.5,"A",2,1,45.36,3.24,"7.5_A",11.6,36900,"4.9","0.48","5.382",3.20279565299303,"800 μatm"
"62",20220922,7.5,"B",1,1,134.8592727,9.632805195,"7.5_B",16.2,42400,"5.61","0.936","6.55",5.65600781577592,"800 μatm"
"63",20220922,7.5,"B",2,1,57.48654545,4.106181818,"7.5_B",11.8,39500,"3.93","0.457","4.386",4.21750809564929,"800 μatm"
"64",20220922,7.5,"C",1,1,72.63822222,5.188444444,"7.5_C",19.6,45350,"7.37","1.158","8.53",2.58045850520175,"800 μatm"
"65",20220922,7.5,"C",2,1,29.232,2.088,"7.5_C",17.7,44800,"7.26","0.938","8.196",1.22395278744598,"800 μatm"
"66",20220922,7.5,"D",1,1,124.9274118,8.923386555,"7.5_D",25.2,45700,"8.32","1.416","9.737",3.79361063775433,"800 μatm"
"67",20220922,8,"A",1,2,159.7058571,11.40756122,"8_A",18.3,43800,"6.557","1.369","7.926",4.97909604716751,"500 μatm"
"68",20220922,8,"A",2,2,63.68266667,4.548761905,"8_A",16.9,45100,"6.82","0.977","7.798",2.58302036868552,"500 μatm"
"69",20220922,8,"A",3,2,69.426,4.959,"8_A",18.7,46700,"6.69","1.052","7.737",2.65811775638447,"500 μatm"
"70",20220922,8,"B",1,2,75.15142857,5.367959184,"8_B",18.6,44300,"7.12","1.143","8.263",2.69702846792593,"500 μatm"
"71",20220922,8,"B",2,2,55.38363636,3.955974026,"8_B",15.7,42900,"5.51","0.694","6.207",2.93322535112873,"500 μatm"
"72",20220922,8,"C",1,2,17.83176923,1.273697802,"8_C",20.7,45900,"8.33","0.953","9.279",0.737439374129978,"500 μatm"
"73",20220922,8,"D",1,2,32.65703226,2.332645161,"8_D",17.9,41900,"7.89","0.741","8.628",1.64339841057531,"500 μatm"
"74",20221026,7.5,"A",1,2,74.07555544,5.291111103,"7.5_A",19.1,46490,"<add here>","1.2339","<add here>",2.50438384831903,"800 μatm"
"75",20221026,7.5,"B",1,2,40.35754902,2.882682073,"7.5_B",21.1,45520,"<add here>","1.0538","<add here>",1.54311303951268,"800 μatm"
