"","Date","Age","pCO2","Chamber_tank","N","resp_umol_hr_bFactorNormLength.MEAN_LvM","sd","se","ci"
"1","1/31/2023",167,"500 uatm","8_A",2,1.91476134525888,0.0162130132686219,0.01146433162571,0.145668144799674
"2","1/31/2023",167,"500 uatm","8_B",2,3.19142002446668,0.310422012472175,0.21950151004865,2.78903112657765
"3","1/31/2023",167,"500 uatm","8_C",2,3.02681184348504,0.388698038047374,0.274851018537205,3.49231331347987
"4","1/31/2023",167,"500 uatm","8_D",1,2.51976842754689,NA,NA,NA
"5","1/31/2023",167,"800 uatm","7.5_A",2,2.75467534383422,0.523490810608227,0.37016390206992,4.70337832564172
"6","1/31/2023",167,"800 uatm","7.5_B",2,3.35907890873183,0.683927619170965,0.48360985735656,6.14484586000469
"7","1/31/2023",167,"800 uatm","7.5_C",2,3.40372835309278,0.253343200948584,0.17914069535825,2.27619835180262
"8","1/31/2023",167,"800 uatm","7.5_D",1,4.29493425126354,NA,NA,NA
"9","1/31/2023",167,"1200 uatm","7_A",2,NA,NA,NA,NA
"10","1/31/2023",167,"1200 uatm","7_B",2,NA,NA,NA,NA
"11","1/31/2023",167,"1200 uatm","7_C",2,NA,NA,NA,NA
"12","1/31/2023",167,"1200 uatm","7_D",1,NA,NA,NA,NA
"13","11/16/2022",91,"500 uatm","8_A",2,0.640025646799008,0.156310544414407,0.110528245926388,1.40439452187096
"14","11/16/2022",91,"500 uatm","8_B",2,0.677007760292297,0.273031810030754,0.193062644352383,2.45309348604867
"15","11/16/2022",91,"500 uatm","8_C",2,0.709243131427351,0.0794050457901636,0.056147846338653,0.713426031074202
"16","11/16/2022",91,"500 uatm","8_D",1,0.629706871407449,NA,NA,NA
"17","11/16/2022",91,"800 uatm","7.5_A",2,0.576266198891742,0.107540363874613,0.076042520547008,0.966211834725054
"18","11/16/2022",91,"800 uatm","7.5_B",2,0.405621576338141,0.252994909662872,0.178894416228295,2.27306907875517
"19","11/16/2022",91,"800 uatm","7.5_C",2,0.541410974471755,0.015733075491203,0.0111249643687495,0.141356074951979
"20","11/16/2022",91,"800 uatm","7.5_D",1,0.489243515312995,NA,NA,NA
"21","11/16/2022",91,"1200 uatm","7_A",2,NA,NA,NA,NA
"22","11/16/2022",91,"1200 uatm","7_B",2,NA,NA,NA,NA
"23","11/16/2022",91,"1200 uatm","7_C",2,NA,NA,NA,NA
"24","11/16/2022",91,"1200 uatm","7_D",1,NA,NA,NA,NA
"25","2/23/2023",190,"500 uatm","8_A",1,2.24688371415373,NA,NA,NA
"26","2/23/2023",190,"500 uatm","8_B",1,1.1249184509655,NA,NA,NA
"27","2/23/2023",190,"500 uatm","8_C",1,2.9557583202931,NA,NA,NA
"28","2/23/2023",190,"500 uatm","8_D",1,2.16897471644642,NA,NA,NA
"29","2/23/2023",190,"500 uatm","8_E",1,3.03736591001314,NA,NA,NA
"30","2/23/2023",190,"500 uatm","8_F",1,0.148444332282284,NA,NA,NA
"31","2/23/2023",190,"500 uatm","8_G",1,3.03657772140594,NA,NA,NA
"32","2/23/2023",190,"800 uatm","7.5_A",1,2.22483135563796,NA,NA,NA
"33","2/23/2023",190,"800 uatm","7.5_B",1,3.40731679678219,NA,NA,NA
"34","2/23/2023",190,"800 uatm","7.5_C",1,2.46626651850007,NA,NA,NA
"35","2/23/2023",190,"800 uatm","7.5_D",1,2.66386003637721,NA,NA,NA
"36","2/23/2023",190,"800 uatm","7.5_E",1,2.22071623398045,NA,NA,NA
"37","2/23/2023",190,"800 uatm","7.5_F",1,0.947422242034411,NA,NA,NA
"38","2/23/2023",190,"800 uatm","7.5_G",1,3.27751944759951,NA,NA,NA
"39","2/23/2023",190,"1200 uatm","7_A",1,NA,NA,NA,NA
"40","2/23/2023",190,"1200 uatm","7_B",1,NA,NA,NA,NA
"41","2/23/2023",190,"1200 uatm","7_C",1,NA,NA,NA,NA
"42","2/23/2023",190,"1200 uatm","7_D",1,NA,NA,NA,NA
"43","2/23/2023",190,"1200 uatm","7_E",1,NA,NA,NA,NA
"44","2/23/2023",190,"1200 uatm","7_F",1,NA,NA,NA,NA
"45","2/23/2023",190,"1200 uatm","7_G",1,NA,NA,NA,NA
"46","3/27/2023",222,"500 uatm","8_A",1,0.793200362810383,NA,NA,NA
"47","3/27/2023",222,"500 uatm","8_B",1,1.03293430515397,NA,NA,NA
"48","3/27/2023",222,"500 uatm","8_C",1,1.54595260136592,NA,NA,NA
"49","3/27/2023",222,"500 uatm","8_D",1,2.06589138161866,NA,NA,NA
"50","3/27/2023",222,"500 uatm","8_E",1,1.60060928650552,NA,NA,NA
"51","3/27/2023",222,"500 uatm","8_F",2,1.23565552603009,0.546793734285572,0.386641557423643,4.91274678813825
"52","3/27/2023",222,"800 uatm","7.5_A",1,1.0451536208916,NA,NA,NA
"53","3/27/2023",222,"800 uatm","7.5_B",2,1.77501151445935,0.533930176251169,0.37754564830733,4.79717230464474
"54","3/27/2023",222,"800 uatm","7.5_C",1,2.1519863381082,NA,NA,NA
"55","3/27/2023",222,"800 uatm","7.5_D",1,1.12752315321935,NA,NA,NA
"56","3/27/2023",222,"800 uatm","7.5_E",1,1.47389003345227,NA,NA,NA
"57","3/27/2023",222,"800 uatm","7.5_F",1,0.401864411322964,NA,NA,NA
"58","3/27/2023",222,"1200 uatm","7_A",1,NA,NA,NA,NA
"59","3/27/2023",222,"1200 uatm","7_B",1,NA,NA,NA,NA
"60","3/27/2023",222,"1200 uatm","7_C",1,NA,NA,NA,NA
"61","3/27/2023",222,"1200 uatm","7_D",2,NA,NA,NA,NA
"62","3/27/2023",222,"1200 uatm","7_E",1,NA,NA,NA,NA
"63","3/27/2023",222,"1200 uatm","7_F",1,NA,NA,NA,NA
"64","8/30/2022",13,"500 uatm","2",4,1.0884107367548,0.674334070477428,0.337167035238714,1.07301598555891
"65","8/30/2022",13,"500 uatm","3",1,7.23055191623247,NA,NA,NA
"66","8/30/2022",13,"800 uatm","10",3,4.35305530291238,3.92557742548299,2.26643318332733,9.75167492303808
"67","8/30/2022",13,"800 uatm","11",2,2.4507211619553,1.63876074733076,1.15877883717991,14.7236811491544
"68","8/30/2022",13,"800 uatm","12",6,2.12945671081361,1.62769213964839,0.664502533412924,1.70815814212558
"69","9/22/2022",36,"500 uatm","8",18,8.63925766869501,4.87227508187063,1.14840625006565,2.42292539606966
"70","9/22/2022",36,"800 uatm","7.5",25,7.21147890779052,6.08733530313079,1.21746706062616,2.51272851525583
