"","Gen","Age","Date","pH","pCO2","Replicate","Chamber_tank","Number","Run","Channel","filetype","Filename","Food","Length_um","Length_mm","Dry_Shell_weight","Dry_Tissue_weight","whole_Dry_weight","volume","Biovolume_g_in_sw","measured_volume","Biovol_length3","calculated_volume","Lpc","BLANK.mean_Lpc","resp_blankStand","resp_mg_hr","resp_mg_hr_biovolcalc","resp_mg_hr_bFactorNormTDW.MEAN","resp_mg_hr_bFactorNormTDW.1g","resp_mg_hr_bFactorNormLength.MEAN","resp_umol_hr","resp_umol_hr_biovolcalc","resp_umol_hr_bFactorNormTDW.MEAN","resp_umol_hr_bFactorNormTDW.1g","resp_umol_hr_bFactorNormLength.MEAN"
"1","F3","100","5/18/2023",7,"1200 uatm","B","7_B",4,"1","C5","SDR_data","SDR_873_resp_Plate2.csv",NA,1657,1.657,NA,NA,NA,0.2,NA,NA,0.000900808997814,0.199099191002186,-0.0213531468531473,0.00072722832722835,0.020625918525919,0.000246396221531248,0.000246396221531248,NA,NA,0.000223455247799251,0.0076998819228515,0.0076998819228515,NA,NA,0.0069829764937266
"2","F3","100","5/18/2023",7,"1200 uatm","A","7_A",1,"1","A4","SDR_data","SDR_799_resp_Plate1.csv",NA,1499,1.499,NA,NA,NA,0.2,NA,NA,0.000666914390802,0.199333085609198,-0.00393006993007024,0.00072722832722835,0.00320284160284189,3.8305937964719e-05,3.8305937964719e-05,NA,NA,4.18573225079747e-05,0.00119706056139747,0.00119706056139747,NA,NA,0.00130804132837421
"3","F3","100","5/18/2023",7,"1200 uatm","A","7_A",3,"1","B6","SDR_data","SDR_799_resp_Plate1.csv",NA,1785,1.785,NA,NA,NA,0.2,NA,NA,0.00112610750175,0.19887389249825,-0.0117352941176471,0.00072722832722835,0.0110080657904188,0.000131353013557044,0.000131353013557044,NA,NA,0.000103726406248378,0.00410478167365763,0.00410478167365763,NA,NA,0.00324145019526181
"4","F3","100","5/18/2023",7,"1200 uatm","C","7_C",2,"1","B2","SDR_data","SDR_799_resp_Plate3.csv",NA,1140,1.14,NA,NA,NA,0.2,NA,NA,0.000293345712,0.199706654288,-0.00618214285714266,0.00072722832722835,0.00545491452991431,6.53629638117711e-05,6.53629638117711e-05,NA,NA,0.00011884614346352,0.00204259261911785,0.00204259261911785,NA,NA,0.00371394198323499
"5","F3","100","5/18/2023",7,"1200 uatm","B","7_B",5,"1","D4","SDR_data","SDR_873_resp_Plate2.csv",NA,1694,1.694,NA,NA,NA,0.2,NA,NA,0.000962510350032,0.199037489649968,-0.0219245614035087,0.00072722832722835,0.0211973330762804,0.000253143837766625,0.000253143837766625,NA,NA,0.000220335667299299,0.00791074493020702,0.00791074493020702,NA,NA,0.00688548960310309
"6","F3","100","5/18/2023",7,"1200 uatm","A","7_A",5,"1","D5","SDR_data","SDR_799_resp_Plate1.csv",NA,2138,2.138,NA,NA,NA,0.2,NA,NA,0.001935032630256,0.198064967369744,-0.0379357142857142,0.00072722832722835,0.0372084859584858,0.000442181853434705,0.000442181853434705,NA,NA,0.00024962206555018,0.0138181829198345,0.0138181829198345,NA,NA,0.0078006895484431
"7","F3","100","5/18/2023",7,"1200 uatm","A","7_A",4,"1","D1","SDR_data","SDR_799_resp_Plate1.csv",NA,1614,1.614,NA,NA,NA,0.2,NA,NA,0.000832483781712,0.199167516218288,-0.0165272727272728,0.00072722832722835,0.0158000444000445,0.000188811335957731,0.000188811335957731,NA,NA,0.000179814156068634,0.00590035424867911,0.00590035424867911,NA,NA,0.00561919237714483
"8","F3","100","5/18/2023",7,"1200 uatm","B","7_B",3,"1","B4","SDR_data","SDR_873_resp_Plate2.csv",NA,2296,2.296,NA,NA,NA,0.2,NA,NA,0.002396518806528,0.197603481193472,-0.047895104895105,0.00072722832722835,0.0471678765678766,0.000559232196618985,0.000559232196618985,NA,NA,0.000276490901001068,0.0174760061443433,0.0174760061443433,NA,NA,0.00864034065628339
"9","F3","100","5/18/2023",7,"1200 uatm","A","7_A",2,"1","B5","SDR_data","SDR_799_resp_Plate1.csv",NA,1806,1.806,NA,NA,NA,0.2,NA,NA,0.001166321893968,0.198833678106032,-0.00800549450549478,0.00072722832722835,0.00727826617826643,8.68298660675668e-05,8.68298660675668e-05,NA,NA,6.70919638095473e-05,0.00271343331461146,0.00271343331461146,NA,NA,0.00209662386904835
"10","F3","100","5/18/2023",7,"1200 uatm","C","7_C",4,"1","D2","SDR_data","SDR_799_resp_Plate3.csv",NA,1578,1.578,NA,NA,NA,0.2,NA,NA,0.000778011805296,0.199221988194704,-0.0311560439560441,0.00072722832722835,0.0304288156288158,0.000363725348878965,0.000363725348878965,NA,NA,0.000361235922633786,0.0113664171524677,0.0113664171524677,NA,NA,0.0112886225823059
