"Airradians_TranscriptID","log2FoldChange","up","down","Effect","gene.annotation"
"evm.model.Contig0.102",-0.464217177626029,FALSE,TRUE,"Generation_1","GO:0005575"
"evm.model.Contig0.128",-0.432217888020491,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig0.2",0.734420478471456,TRUE,FALSE,"Generation_1","GO:0003674"
"evm.model.Contig0.341",0.531295099111389,TRUE,FALSE,"Generation_1","GO:0005737;GO:0016192;GO:0032991"
"evm.model.Contig0.344",-0.532561937165374,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig0.344",-1.2719261096544,FALSE,TRUE,"Generation_2",NA
"evm.model.Contig0.39",0.63814382425462,TRUE,FALSE,"Generation_1","GO:0003723;GO:0008150"
"evm.model.Contig0.95",0.580228890769852,TRUE,FALSE,"Generation_1","GO:0016491"
"evm.model.Contig1008.30",0.439466426578225,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig1015.29.1",-0.554594280661011,FALSE,TRUE,"Generation_1","GO:0003677;GO:0009058;GO:0034641"
"evm.model.Contig104.223",0.747126420799127,TRUE,FALSE,"Generation_1","GO:0003674;GO:0007165"
"evm.model.Contig1046.8",-0.46091956927636,FALSE,TRUE,"Generation_1","GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig106.20",0.38293632481601,TRUE,FALSE,"Generation_1","GO:0005634;GO:0051276;GO:0065003"
"evm.model.Contig106.36",-0.432328517436754,FALSE,TRUE,"Generation_1","GO:0005576;GO:0007155;GO:0043167"
"evm.model.Contig1120.10",0.495619748628384,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig1144.10",22.4543212971025,TRUE,FALSE,"Generation_2","GO:0006464;GO:0016746"
"evm.model.Contig1146.24",1.4425590326587,TRUE,FALSE,"Generation_1","GO:0005737;GO:0006457;GO:0043167"
"evm.model.Contig1146.25",1.4976283671405,TRUE,FALSE,"Generation_1","GO:0005737;GO:0006457;GO:0043167"
"evm.model.Contig115.83",-0.582390321268178,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig116.29",-0.66942656879634,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig116.35",-1.13044079011507,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig1162.6",1.32153751088073,TRUE,FALSE,"Generation_1","GO:0006091;GO:0006790;GO:0016491;GO:0034641;GO:0043167;GO:0044281;GO:0051186"
"evm.model.Contig117.144",0.880085570719603,TRUE,FALSE,"Generation_1","GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig117.149",-0.498618724063966,FALSE,TRUE,"Generation_1","GO:0003674;GO:0005975"
"evm.model.Contig117.72",0.573523067097528,TRUE,FALSE,"Generation_1","GO:0016491"
"evm.model.Contig1182.25",-0.858862642115164,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig119399.2",-0.507180966445085,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig121.62",0.487796003914878,TRUE,FALSE,"Generation_1","GO:0003674;GO:0005622;GO:0032991"
"evm.model.Contig121.93.2",-23.8734637327937,FALSE,TRUE,"Generation_2","GO:0003924;GO:0043167"
"evm.model.Contig1210.28",1.85609777076048,TRUE,FALSE,"Generation_1","GO:0005575;GO:0008233;GO:0043167"
"evm.model.Contig1218.9",-0.895928145058167,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig1224.8",0.517463955404167,TRUE,FALSE,"Generation_1","GO:0007267;GO:0008289;GO:0043167;GO:0055085"
"evm.model.Contig124.10",-0.862896894552728,FALSE,TRUE,"Generation_2","GO:0006464;GO:0016791"
"evm.model.Contig125.103",0.471331458839793,TRUE,FALSE,"Generation_1","GO:0005856;GO:0007010;GO:0032991;GO:0065003"
"evm.model.Contig126.48",0.423083042777686,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig126.90.1",-0.797669950950596,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig126.94",-1.40501463830272,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig127.144",-0.437815668731491,FALSE,TRUE,"Generation_1","GO:0005575"
"evm.model.Contig131.77",0.446783613420023,TRUE,FALSE,"Generation_1","GO:0006457;GO:0032991;GO:0051082"
"evm.model.Contig132.102",-0.674897289312204,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig1331.5",-1.00562115668367,FALSE,TRUE,"Generation_1","GO:0006520;GO:0009056;GO:0016810;GO:0043167"
"evm.model.Contig134.58",1.18458855992824,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig140.86",0.535891813296896,TRUE,FALSE,"Generation_1","GO:0005840;GO:0008135"
"evm.model.Contig1401.1",-0.433305388782797,FALSE,TRUE,"Generation_1","GO:0003677"
"evm.model.Contig141.23",1.10331250942895,TRUE,FALSE,"Generation_1",""
"evm.model.Contig1421.6",0.800856093180963,TRUE,FALSE,"Generation_1","GO:0006091;GO:0016887;GO:0022857;GO:0032991;GO:0034641;GO:0043167;GO:0044281"
"evm.model.Contig143.119",-23.2749548722448,FALSE,TRUE,"Generation_2","GO:0008168"
"evm.model.Contig1434.14",-0.330607068666334,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig144.173",0.789165923539078,TRUE,FALSE,"Generation_1","GO:0005622;GO:0022618;GO:0042254"
"evm.model.Contig1487.4",-22.0974146677788,FALSE,TRUE,"Generation_2",""
"evm.model.Contig1495.7",0.655280589315755,TRUE,FALSE,"Generation_1","GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig1525.27",0.976164977540375,TRUE,FALSE,"Generation_1",""
"evm.model.Contig169.24",0.650093963846463,TRUE,FALSE,"Generation_1","GO:0005634;GO:0006397;GO:0022618;GO:0032991"
"evm.model.Contig169.55",0.275757692769436,TRUE,FALSE,"Generation_1","GO:0003674"
"evm.model.Contig169.97",0.901659109896804,TRUE,FALSE,"Generation_1","GO:0016491"
"evm.model.Contig176.104",-1.10820386484595,FALSE,TRUE,"Generation_1","GO:0016829;GO:0043167;GO:0044281"
"evm.model.Contig177.112",-0.867007399659122,FALSE,TRUE,"Generation_1","GO:0003674"
"evm.model.Contig177.113",0.722435012311593,TRUE,FALSE,"Generation_1","GO:0005737;GO:0005783"
"evm.model.Contig177.16",0.452929677626278,TRUE,FALSE,"Generation_1","GO:0005622;GO:0008233;GO:0009056;GO:0032991"
"evm.model.Contig179.60",0.893373998078929,TRUE,FALSE,"Generation_1","GO:0005739"
"evm.model.Contig1835.5",0.598963379912047,TRUE,FALSE,"Generation_1","GO:0005622;GO:0008233;GO:0009056;GO:0032991;GO:0043167"
"evm.model.Contig210.91",-0.909352110855739,FALSE,TRUE,"Generation_1","GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig218.10",0.886666933421194,TRUE,FALSE,"Generation_1",""
"evm.model.Contig218.9",0.536692160233566,TRUE,FALSE,"Generation_1","GO:0005737;GO:0009056;GO:0016887;GO:0043167"
"evm.model.Contig222.70",0.448677489462993,TRUE,FALSE,"Generation_1","GO:0006605;GO:0055085"
"evm.model.Contig225.62",-9.39096124034461,FALSE,TRUE,"Generation_2","GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig227.129",0.451705134571725,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig227.130",0.923643580305224,TRUE,FALSE,"Generation_1","GO:0005634;GO:0006397;GO:0022618;GO:0032991"
"evm.model.Contig228.83",0.4564432196382,TRUE,FALSE,"Generation_1","GO:0016491"
"evm.model.Contig231.48",0.657911630437452,TRUE,FALSE,"Generation_1","GO:0005794;GO:0016192;GO:0031410;GO:0032991"
"evm.model.Contig234.29",-1.82425020605018,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig247.79",8.72622468307435,TRUE,FALSE,"Generation_2","GO:0022857"
"evm.model.Contig257.10",0.360619554344856,TRUE,FALSE,"Generation_1","GO:0005856;GO:0007010;GO:0032991;GO:0043167;GO:0065003"
"evm.model.Contig279.25",-9.43490000910247,FALSE,TRUE,"Generation_2","GO:0003674"
"evm.model.Contig282.65",0.580043398072474,TRUE,FALSE,"Generation_1","GO:0006457;GO:0006464;GO:0016853"
"evm.model.Contig284.70",-0.928760654478945,FALSE,TRUE,"Generation_1","GO:0003674;GO:0009058;GO:0034641"
"evm.model.Contig292.14",-1.12063725659223,FALSE,TRUE,"Generation_1","GO:0016491"
